student_id,exam,grade
S1,MIDTERM 1,78.0
S2,MIDTERM 1,82.0
S3,MIDTERM 1,77.0
S4,MIDTERM 1,75.0
S5,MIDTERM 1,67.0
S6,MIDTERM 1,71.0
S7,MIDTERM 1,64.0
S8,MIDTERM 1,92.0
S9,MIDTERM 1,80.0
S10,MIDTERM 1,89.0
S1,MIDTERM 2,82.0
S2,MIDTERM 2,85.0
S3,MIDTERM 2,90.0
S4,MIDTERM 2,77.0
S5,MIDTERM 2,77.0
S6,MIDTERM 2,64.0
S7,MIDTERM 2,33.0
S8,MIDTERM 2,88.0
S9,MIDTERM 2,39.0
S10,MIDTERM 2,64.0
S1,FINAL,182.0
S2,FINAL,180.0
S3,FINAL,188.0
S4,FINAL,149.0
S5,FINAL,157.0
S6,FINAL,175.0
S7,FINAL,110.0
S8,FINAL,184.0
S9,FINAL,126.0
S10,FINAL,116.0
